ukprn,kiscourseid,title,foundation,sandwich,yearabroad
10007784,UBAFREASRB18,French and Serbian/Croatian,0,0,2
10007784,UBAFREASWE18,French and Swedish,0,0,2
10007784,UBAFREAUKR18,French and Ukrainian,0,0,2
10007784,UBAFREAYID18,French and Yiddish,0,0,2
10007784,UBAFSHAEES18,Finnish and East European Studies,0,0,2
10007784,UBAGERAENG18,German and English,0,0,2
10007784,UBAGERAHAR18,German and History of Art,0,0,2
10007784,UBAGERAHEB18,German and Hebrew,0,0,2
10007784,UBAGERAHIS18,German and History,0,0,2
10007784,UBAGERAHUN18,German and Hungarian,0,0,2
10007784,UBAGERAITA18,German and Italian,0,0,2
10007784,UBAGERAJEW18,German and Jewish Studies,0,0,2
10007784,UBAGERALAT18,German and Latin,0,0,2
10007784,UBAGERANOR18,German and Norwegian,0,0,0
10007784,UBAGERAPHI18,German and Philosophy,0,0,2
10007784,UBAGERAPOL18,German and Polish,0,0,2
10007784,UBAGERAPOR18,German and Portuguese,0,0,2
10007784,UBAGERAROM18,German and Romanian,0,0,2
10007784,UBAGERARUS18,German and Russian,0,0,2
10007784,UBAGERASPA18,German and Spanish,0,0,2
10007784,UBAGERASRB18,German and Serbian/Croatian,0,0,2
10007784,UBAGERASWE18,German and Swedish,0,0,2
10007784,UBAGERAUKR18,German and Ukrainian,0,0,2
10007784,UBAGERAYID18,German and Yiddish,0,0,2
10007784,UBAGREAENG18,Greek and English,0,0,0
10007784,UBAHEBAHUN18,Hebrew and Hungarian,0,0,2
10007784,UBAHEBAITA18,Hebrew and Italian,0,0,2
10007784,UBAHEBAJEW18,Hebrew and Jewish Studies,0,0,0
10007784,UBAHEBAJWA18,Hebrew and Jewish Studies,0,0,2
10007784,UBAHEBANOR18,Hebrew and Norwegian,0,0,2
10007784,UBAHEBAPOL18,Hebrew and Polish,0,0,2
10007784,UBAHEBAROM18,Hebrew and Romanian,0,1,2
10007784,UBAHEBASPA18,Hebrew and Spanish,0,0,2
10007784,UBAHEBASRB18,Hebrew and Serbian/Croatian,0,0,2
10007784,UBAHEBASWE18,Hebrew and Swedish,0,0,2
10007784,UBAHEBAUKR18,Hebrew and Ukrainian,0,0,2
10007784,UBAHPASING18,History and Politics of the Americas,0,0,0
10007784,UBAHPESING18,"History, Politics and Economics",0,0,0
10007784,UBAHSEAJEW19,History (Central and East European) and Jewish Studies,0,0,2
10007784,UBAHUNAEES18,Hungarian and East European Studies,0,0,2
10007784,UBAHUNAITA18,Hungarian and Italian,0,0,2
10007784,UBAHUNANOR18,Hungarian and Norwegian,0,0,2
10007784,UBAHUNAPOL18,Hungarian and Polish,0,0,2
10007784,UBAHUNAPOR18,Hungarian and Portuguese,0,0,2
10007784,UBAHUNAROM18,Hungarian and Romanian,0,0,2
10007784,UBAHUNARUS18,Hungarian and Russian,0,0,2
10007784,UBAHUNASPA18,Hungarian and Spanish,0,0,2
10007784,UBAHUNASRB18,Hungarian and Serbian/Croatian,0,0,2
10007784,UBAHUNASWE18,Hungarian and Swedish,0,0,2
10007784,UBAHUNAUKR18,Hungarian and Ukrainian,0,0,2
10007784,UBAHUNAYID18,Hungarian and Yiddish,0,0,2
10007784,UBAINTSSPS18,International Social and Political Studies,0,0,2
10007784,UBAITAAHAR18,Italian and History of Art,0,0,2
10007784,UBAITAAJEW18,Italian and Jewish Studies,0,0,2
10007784,UBAITAALAT18,Italian and Latin,0,0,2
10007784,UBAITAAMAN18,Italian and Management Studies,0,0,2
10007784,UBAITAANOR18,Italian and Norwegian,0,0,2
10007784,UBAITAAPHI18,Italian and Philosophy,0,0,2
10007784,UBAITAAPOL18,Italian and Polish,0,0,2
10007784,UBAITAAPOR18,Italian and Portuguese,0,0,2
10007784,UBAITAAROM18,Italian and Romanian,0,0,2
10007784,UBAITAARUS18,Italian and Russian,0,0,2
10007784,UBAITAASPA18,Italian and Spanish,0,0,2
10007784,UBAITAASRB18,Italian and Serbian/Croatian,0,0,2
10007784,UBAITAASWE18,Italian and Swedish,0,0,2
10007784,UBAITAAUKR18,Italian and Ukrainian,0,0,2
10007784,UBAITAAYID18,Italian and Yiddish,0,0,2
10007784,UBALATAENG18,Latin and English,0,0,0
10007784,UBALNGSCLT18,Language and Culture,0,0,2
10007784,UBANORAPOL18,Norwegian and Polish,0,0,2
10007784,UBANORAPOR18,Norwegian and Portuguese,0,0,2
10007784,UBANORAROM18,Norwegian and Romanian,0,0,2
10007784,UBANORARUS18,Norwegian and Russian,0,0,2
10007784,UBANORASPA18,Norwegian and Spanish,0,0,2
10007784,UBANORASRB18,Norwegian and Serbian/Croatian,0,0,2
10007784,UBANORAUKR18,Norwegian and Ukrainian,0,0,2
10007784,UBANORAYID18,Norwegian and Yiddish,0,0,2
10007784,UBAPHIACOM18,Philosophy and Computer Science,0,0,0
10007784,UBAPHIAECO18,Philosophy and Economics,0,0,0
10007784,UBAPHIAHAR18,Philosophy and History of Art,0,0,0
10007784,UBAPLSAEEA18,"Politics, Sociology and East European Studies",0,0,2
10007784,UBAPLSAEES18,"Politics, Sociology and East European Studies",0,0,0
10007784,UBAPOLAPOR18,Polish and Portuguese,0,0,2
10007784,UBAPOLAROM18,Polish and Romanian,0,0,2
10007784,UBAPOLARUS18,Polish and Russian,0,0,2
10007784,UBAPOLASPA18,Polish and Spanish,0,0,2
10007784,UBAPOLASRB18,Polish and Serbian/Croatian,0,0,2
10007784,UBAPOLASWE18,Polish and Swedish,0,0,2
10007784,UBAPOLAUKR18,Polish and Ukrainian,0,0,2
10007784,UBAPOLAYID18,Polish and Yiddish,0,0,2
10007784,UBAPSHAEES18,Polish and East European Studies,0,0,2
10007784,UBAROMAEES18,Romanian and East European Studies,0,0,2
10007784,UBAROMAPOR18,Romanian and Portuguese,0,0,2
10007784,UBAROMARUS18,Romanian and Russian,0,0,2
10007784,UBAROMASPA18,Romanian and Spanish,0,0,2
10007784,UBAROMASRB18,Romanian and Serbian/Croatian,0,0,2
10007784,UBAROMASWE18,Romanian and Swedish,0,0,2
10007784,UBAROMAUKR18,Romanian and Ukrainian,0,0,2
10007784,UBAROMAYID18,Romanian and Yiddish,0,0,2
10007784,UBARUSAHSE18,Russian and History,0,0,2
10007784,UBARUSAPOR18,Russian and Portuguese,0,0,2
10007784,UBARUSASPA18,Russian and Spanish,0,0,2
10007784,UBARUSASRB18,Russian and Serbian/Croatian,0,0,2
10007784,UBARUSASWE18,Russian and Swedish,0,0,2
10007784,UBARUSAUKR18,Russian and Ukrainian,0,0,2
10007784,UBARUSAYID18,Russian and Yiddish,0,0,2
10007784,UBASCAAENG18,Scandinavian Studies and English,0,0,2
10007784,UBASCAAHAR18,Scandinavian Studies and History of Art,0,0,2
10007784,UBASCAALAT18,Scandinavian Studies and Latin,0,0,2
10007784,UBASCAAPHI18,Scandinavian Studies and Philosophy,0,0,2
10007784,UBASCASVON18,Viking and Old Norse Studies,0,0,2
10007784,UBASERAEES18,Serbian / Croatian and East European Studies,0,0,2
10007784,UBASPAAHAR18,Spanish and History of Art,0,0,2
10007784,UBASPAALAS18,Spanish and Latin American Studies,0,0,2
10007784,UBASPAALAT18,Spanish and Latin,0,0,2
10007784,UBASPAAPHI18,Spanish and Philosophy,0,0,2
10007784,UBASPAAPOR18,Spanish and Portuguese,0,0,2
10007784,UBASPAASWE18,Spanish and Swedish,0,0,2
10007784,UBASPAAUKR18,Spanish and Ukrainian,0,0,2
10007784,UBASPAAYID18,Spanish and Yiddish,0,0,2
10007784,UBASRBAPOR18,Serbian/Croatian and Portuguese,0,0,2
10007784,UBASRBASPA18,Serbian/Croatian and Spanish,0,0,2
10007784,UBASRBASWE18,Serbian/Croatian and Swedish,0,0,2
10007784,UBASRBAUKR18,Serbian/Croatian and Ukrainian,0,0,2
10007784,UBASRBAYID18,Serbian/Croatian and Yiddish,0,0,2
10007784,UBASWEAPOR18,Swedish and Portuguese,0,0,2
10007784,UBASWEAYID18,Swedish and Yiddish,0,0,2
10007784,UBAUKRAEES18,Ukrainian and East European Studies,0,0,2
10007784,UBAUKRAPOR18,Ukrainian and Portuguese,0,0,2
10007784,UBAUKRASWE18,Ukrainian and Swedish,0,0,2
10007784,UBAUKRAYID18,Ukrainian and Yiddish,0,0,2
10007784,UBAYTHASTF18,"Youth, Society and Sustainable Futures",0,0,0
10007784,UBBASCSING18,Arts and Sciences,0,0,0
10007784,UBEECOASTA18,Economics and Statistics,0,0,0
10007784,UBLLAWSEGL18,English and German Law,0,0,2
10007784,UBLLAWSHKD18,Bachelor of Laws (UCL) and LLB Bachelor of Laws (University of Hong Kong),0,0,2
10007784,UBNEENSEEE22,Electronic and Electrical Engineering,0,0,0
10007784,UBSARCSAIA18,Architectural and Interdisciplinary Studies,0,0,2
10007784,UBSARCSAIS18,Architectural and Interdisciplinary Studies,0,0,0
10007784,UBSARCSUDM18,"Urban Planning, Design and Management",0,0,0
10007784,UBSBIPSMBM18,Bioprocessing of New Medicines (Business and Management),0,0,0
10007784,UBSBUSAHEA01,Business and Health,0,0,0
10007784,UBSCSSSING18,Crime and Security Science,0,0,0
10007784,UBSGEOAECO18,Geography and Economics,0,0,0
10007784,UBSHPSSING18,History and Philosophy of Science,0,0,0
10007784,UBSIFCAIMM18,Infection and Immunity,0,0,0
10007784,UBSMATAPHY18,Mathematics and Physics,0,0,0
10007784,UBSMATASTA18,Mathematics and Statistical Science,0,0,0
10007784,UBSMEDSIAE18,Medical Innovation and Enterprise,0,0,0
10007784,UBSMEDSSAE18,Sport and Exercise Medical Sciences,0,0,0
10007784,UBSNMSSING18,Nutrition and Medical Sciences,0,0,0
10007784,UBSPLNAREE19,Urban Planning and Real Estate,0,0,0
10007784,UBSPOLAINT18,Politics and International Relations,0,0,0
10007784,UBSPPESING18,"Philosophy, Politics and Economics",0,0,1
10007784,UBSPSYALAN18,Psychology and Language Sciences,0,0,0
10007784,UBSSBESING18,"Sustainable Built Environments, Energy and Resources",0,0,0
10007784,UBSSCESSOC18,Science and Engineering for Social Change,0,0,0
10007784,UBSSPOSSCI18,Sociology and Politics of Science,0,0,0
10007784,UBSSTAAMAB18,Statistics and Management for Business,0,0,0
10007784,UBSSTASSEF18,"Statistics, Economics and Finance",0,0,0
10007784,UBSSTASSEL18,"Statistics, Economics and a Language",0,0,0
10007784,UMNCOMSRAI18,Robotics and Artificial Intelligence,0,0,0
10007784,UMNEENSEEE22,Electronic and Electrical Engineering,0,0,0
10007784,UMNENGAARD18,Engineering and Architectural Design,0,0,0
10007784,UMNSBESING18,"Sustainable Built Environments, Energy and Resources",0,0,0
10007784,UMSBUSAHEA01,Business and Health,0,0,2
10007784,UMSHUMSEVL18,Human Sciences and Evolution,0,0,0
10007784,UMSMATAPHY18,Mathematics and Physic,0,0,0
10007784,UMSMATASTA18,Mathematics and Statistical Science,0,0,0
10007784,UMSMEDSIAE18,Medical Innovation and Enterprise,0,0,2
10007784,UMSPSYALAN18,Psychology and Language Sciences,0,0,0
